"lib_mrq";"cod_cbr";"puiss_admin_98";"puiss_max";"typ_boite_nb_rapp";"conso_urb";"conso_exurb";"co_typ_1";"ptcl";"masse_ordma_min";"masse_ordma_max";"Carrosserie";"gamme";"hc_nox";"var_co2"
"MERCEDES";"GO";9;100;"M 6";8.800000191;6.400000095;0.046;0;2076;2185;"MINIBUS";"MOY-SUPER";0.216000006;"moyenne"
"MERCEDES";"GO";9;100;"M 6";8.899999619;6.5;0.046;0;2186;2200;"MINIBUS";"MOY-INFER";0.216000006;"moyenne"
"MERCEDES";"GO";10;120;"A 7";9.800000191;7;0.093000002;0.001;2076;2185;"MINIBUS";"MOY-INFER";0.27700001;"forte"
"MERCEDES";"GO";9;100;"M 6";9.5;6.699999809;0.174999997;0.001;2186;2275;"MINIBUS";"MOY-SUPER";0.247999996;"forte"
"MERCEDES";"GO";10;120;"M 6";8.699999809;6.300000191;0.046;0;2050;2075;"MINIBUS";"MOY-SUPER";0.216000006;"moyenne"
"MERCEDES";"GO";9;100;"M 6";8.800000191;6.400000095;0.174999997;0.001;1976;2075;"MINIBUS";"MOY-INFER";0.247999996;"moyenne"
"MERCEDES";"GO";11;120;"M 6";10.89999962;7;0.086000003;0;2586;2815;"MINIBUS";"MOY-INFER";0.263000011;"forte"
"MERCEDES";"GO";10;120;"M 6";8.699999809;6.300000191;0.046;0;1976;2075;"MINIBUS";"MOY-INFER";0.216000006;"moyenne"
"MERCEDES";"GO";7;70;"M 6";10;6.699999809;0.097000003;0.001;2076;2185;"MINIBUS";"MOY-INFER";0.263000011;"forte"
"MINI";"GO";5;70;"M 6";4.199999809;3.299999952;0.193000004;0;1190;1190;"BERLINE";"INFERIEURE";0.107000001;"faible"
"MERCEDES";"ES";8;115;"M 6";6.599999905;4.5;0.238000005;0;1395;1395;"BERLINE";"SUPERIEURE";0.062999999;"faible"
"MERCEDES";"GO";9;100;"A 5";10.10000038;6.900000095;0.078000002;0.001;2076;2185;"MINIBUS";"MOY-SUPER";0.232999995;"forte"
"VOLKSWAGEN";"GO";9;100;"M 6";9.399999619;7.199999809;0.202999994;0.001;1976;2739;"MINIBUS";"MOY-INFER";0.238999993;"forte"
"MERCEDES";"GO";10;120;"M 6";9.5;6.699999809;0.046;0;2186;2355;"MINIBUS";"MOY-SUPER";0.216000006;"forte"
"VOLKSWAGEN";"GO";7;80;"M 6";8.600000381;6.900000095;0.393000007;0.001;2246;2709;"MINIBUS";"MOY-INFER";0.266000003;"moyenne"
"MERCEDES";"GO";9;125;"M 6";6.099999905;4.599999905;0.194999993;0.001;1845;1845;"BREAK";"LUXE";0.174999997;"faible"
"MERCEDES";"GO";7;100;"A 7";6.300000191;4.5;0.068000004;0;1590;1590;"BERLINE";"SUPERIEURE";0.167999998;"faible"
"MERCEDES";"GO";11;150;"A 7";6.199999809;4.300000191;0.257999986;0;1590;1590;"CABRIOLET";"SUPERIEURE";0.156000003;"faible"
"MERCEDES";"GO";9;100;"A 5";11;7.300000191;0.061000001;0.001;1976;2075;"MINIBUS";"MOY-INFER";0.240999997;"forte"
"NISSAN";"GO";7;84;"M 6";8.100000381;5.800000191;0.246000007;0.001;2009;2184;"MINIBUS";"MOY-INFER";0.244000003;"moyenne"
"MERCEDES";"GO";15;165;"A 5";10.89999962;7.099999905;0.361000001;0;2356;2585;"MINIBUS";"MOY-SUPER";0.289000005;"forte"
"MERCEDES";"GO";9;95;"A 7";9.600000381;6.900000095;0.093000002;0.004;2586;2859;"MINIBUS";"MOY-INFER";1.851000054;"forte"
"FIAT";"GO";4;62;"M 5";5;3.700000048;0.349000007;0.001;1390;1390;"MINISPACE";"ECONOMIQUE";0.199000001;"faible"
"MERCEDES";"GO";10;120;"A 5";9.899999619;6.699999809;0.041999999;0.001;1976;2075;"MINIBUS";"MOY-INFER";0.201000005;"forte"
"BMW";"GO";10;135;"A 8";5.699999809;4.5;0.268999994;0;1705;1705;"BERLINE";"SUPERIEURE";0.165999994;"faible"
"MERCEDES";"GO";11;150;"M 6";6.199999809;4.400000095;0.209999993;0;1765;1765;"BERLINE";"LUXE";0.182999998;"faible"
"MERCEDES";"GO";9;125;"A 7";5.800000191;4.199999809;0.090999998;0;1735;1735;"BERLINE";"LUXE";0.150000006;"faible"
"AUDI";"GO";10;140;"M 6";5.599999905;4.199999809;0.319000006;0;1670;1670;"BREAK";"MOY-SUPER";0.108000003;"faible"
"MERCEDES";"GO";9;100;"A 5";10.10000038;6.900000095;0.041999999;0.001;2186;2275;"MINIBUS";"MOY-INFER";0.201000005;"forte"
"MERCEDES";"GO";9;100;"A 5";10.10000038;6.900000095;0.041999999;0.001;2356;2585;"MINIBUS";"MOY-SUPER";0.201000005;"forte"
"VOLKSWAGEN";"GO";9;100;"M 6";8.600000381;6.900000095;0.393000007;0.001;2219;2815;"MINIBUS";"MOY-INFER";0.266000003;"moyenne"
"MERCEDES";"GO";10;120;"M 6";9.300000191;6.5;0.046;0;1976;2075;"MINIBUS";"MOY-INFER";0.216000006;"moyenne"
"MERCEDES";"GO";11;120;"A 5";11;7.300000191;0.061000001;0.001;1976;2075;"MINIBUS";"MOY-INFER";0.240999997;"forte"
"MERCEDES";"GO";9;95;"M 6";10.30000019;6.900000095;0.48300001;0;2586;2815;"MINIBUS";"MOY-INFER";0.287;"forte"
"MERCEDES";"ES";8;115;"A 7";6.900000095;4.699999809;0.130999997;0;1425;1425;"BERLINE";"SUPERIEURE";0.063999999;"faible"
"MERCEDES";"GO";10;120;"A 5";10;6.800000191;0.078000002;0.001;2050;2075;"MINIBUS";"MOY-SUPER";0.232999995;"forte"
"MERCEDES";"GO";9;100;"M 6";8.899999619;6.5;0.174999997;0.001;2076;2185;"MINIBUS";"MOY-SUPER";0.247999996;"moyenne"
"MERCEDES";"GO";9;95;"A 7";9.800000191;7.099999905;0.093000002;0.001;2356;2585;"MINIBUS";"MOY-INFER";0.27700001;"forte"
"SEAT";"GO";5;77;"M 5";4.599999905;3.299999952;0.143000007;0;1286;1286;"BERLINE";"MOY-INFER";0.155000001;"faible"
"MERCEDES";"GO";15;165;"A 5";10.89999962;7.099999905;0.361000001;0;2186;2355;"MINIBUS";"MOY-INFER";0.289000005;"forte"
"MERCEDES";"GO";10;120;"M 6";8.899999619;6.5;0.174999997;0.001;2076;2185;"MINIBUS";"MOY-INFER";0.247999996;"moyenne"
"VOLKSWAGEN";"GO";7;80;"M 6";8;6.400000095;0.393000007;0.001;1982;2805;"MINIBUS";"MOY-INFER";0.266000003;"moyenne"
"FORD";"ES";5;74;"M 5";5.900000095;4.199999809;0.326000005;0.002;1313;1313;"BREAK";"MOY-INFER";0.109000001;"faible"
"MERCEDES";"GO";9;95;"A 7";10;7.300000191;0.100000001;0.001;2088;2185;"MINIBUS";"MOY-INFER";0.252999991;"forte"
"VOLKSWAGEN";"GO";10;120;"M 6";8.300000191;6.900000095;0.409000009;0.001;2028;2815;"MINIBUS";"MOY-INFER";0.25;"moyenne"
"MERCEDES";"GO";9;125;"A 7";6.5;4.599999905;0.090999998;0;1630;1630;"COUPE";"SUPERIEURE";0.143999994;"faible"
"MERCEDES";"GO";9;100;"A 5";10.89999962;7.199999809;0.006;0;2035;2075;"MINIBUS";"MOY-INFER";0.219999999;"forte"
"VOLKSWAGEN";"GO";10;120;"M 6";8.699999809;7.199999809;0.388000011;0.001;2064;2815;"MINIBUS";"MOY-INFER";0.266000003;"forte"
"VOLKSWAGEN";"GO";10;120;"M 6";8.699999809;7.199999809;0.386000007;0.001;2064;2815;"MINIBUS";"MOY-INFER";0.266000003;"forte"
"MERCEDES";"GO";10;120;"M 6";9.5;6.699999809;0.046;0;2356;2525;"MINIBUS";"MOY-SUPER";0.216000006;"forte"
"OPEL";"GO";7;103;"M 6";4.5;3.200000048;0.361999989;0;1733;1733;"BERLINE";"MOY-SUPER";0.155000001;"faible"
"OPEL";"GO";7;81;"A 6";7.900000095;5;0.037;0.001;1571;1571;"MINISPACE";"INFERIEURE";0.177000001;"moyenne"
"LANCIA";"GO";5;70;"M 5";5.400000095;3.700000048;0.194999993;0.001;1275;1380;"MINISPACE";"INFERIEURE";0.187999994;"faible"
"MERCEDES";"GO";15;165;"A 5";10.89999962;7;0.361000001;0;2076;2185;"MINIBUS";"MOY-INFER";0.289000005;"forte"
"MERCEDES";"GO";11;120;"M 6";10.89999962;6.900000095;0.086000003;0;2356;2585;"MINIBUS";"MOY-INFER";0.263000011;"forte"
"MERCEDES";"GO";9;95;"M 6";10.19999981;6.800000191;0.093000002;0.004;2586;2826;"MINIBUS";"MOY-INFER";1.851000054;"forte"
"FIAT";"GO";10;125;"M 6";8.300000191;5.300000191;0.356000006;0.001;1891;1958;"TS TERRAINS/CHEMINS";"MOY-SUPER";0.189999998;"moyenne"
"MERCEDES";"ES";8;115;"M 6";6.5;4.300000191;0.238000005;0;1395;1395;"BERLINE";"SUPERIEURE";0.062999999;"faible"
"LEXUS";"EH";9;133;"V 0";4.599999905;4.599999905;0.098999999;0;1695;1695;"BERLINE";"MOY-SUPER";0.022;"faible"
"MERCEDES";"GO";10;120;"M 6";8.899999619;6.5;0.046;0;2586;2600;"MINIBUS";"MOY-SUPER";0.216000006;"moyenne"
"MINI";"GO";5;85;"M 6";4.5;3.299999952;0.196999997;0;1210;1210;"BERLINE";"INFERIEURE";0.165000007;"faible"
"MERCEDES";"GO";6;80;"A 7";5.099999905;4.099999905;0.226999998;0;1505;1505;"MONOSPACE COMPACT";"MOY-INFER";0.179000005;"faible"
"MERCEDES";"GO";11;150;"M 6";6.699999809;4.5;0.209999993;0;1615;1615;"BERLINE";"SUPERIEURE";0.182999998;"moyenne"
"MERCEDES";"GO";11;120;"A 5";10.19999981;7;0.078000002;0.001;2356;2450;"MINIBUS";"MOY-INFER";0.232999995;"forte"
"MERCEDES";"GH";11;150;"A 7";4.800000191;4.599999905;0.222000003;0.001;2035;2035;"BERLINE";"LUXE";0.085000001;"faible"
"FIAT";"GO";4;62;"M 5";5;3.700000048;0.349000007;0.001;1380;1380;"MINISPACE";"ECONOMIQUE";0.199000001;"faible"
"VOLKSWAGEN";"GO";5;77;"M 6";5.199999809;3.799999952;0.167999998;0;1547;1547;"BREAK";"MOY-SUPER";0.136000007;"faible"
